respondent_id,date,region,age_group,gender,education,Q1,Q1_text,Q2,Q2_text,Q3,Q3_text,Q4,Q4_text,month,month_name,week
R0019,2024-01-02,North,18-24,Female,Master's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,,Which cloud platform do you use most?,1,Jan,1
R0020,2024-02-24,Central,18-24,Male,Master's,Java,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,8
R0021,2024-06-17,North,25-34,Male,High School,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,6,Jun,25
R0022,2024-03-27,West,55+,Male,Bachelor's,JavaScript,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,3,Mar,13
R0023,2024-01-20,North,18-24,Male,PhD,Java,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,3
R0024,2024-03-01,Central,45-54,Non-binary,PhD,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,3,Mar,9
R0025,2024-04-26,North,25-34,Prefer not to say,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,4,Apr,17
R0026,2024-01-15,West,25-34,Male,Bachelor's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,3
R0027,2024-05-10,East,25-34,Female,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,5,May,19
R0028,2024-06-01,North,18-24,Female,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,6,Jun,22
R0029,2024-03-08,South,18-24,Female,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,3,Mar,10
R0030,2024-01-26,West,18-24,Male,Other,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,,Which cloud platform do you use most?,1,Jan,4
R0031,2024-05-19,Central,45-54,Male,Bachelor's,C++,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?,5,May,20
R0032,2024-02-04,North,35-44,Male,Master's,Python,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,5
R0033,2024-03-08,South,18-24,Male,Master's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,3,Mar,10
R0034,2024-02-03,East,35-44,Male,Bachelor's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,5
R0035,2024-02-08,South,18-24,Male,PhD,Java,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,6
R0036,2024-01-11,North,25-34,Female,Master's,JavaScript,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,2
R0037,2024-02-09,West,45-54,Male,Master's,JavaScript,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,2,Feb,6
R0038,2024-04-15,North,25-34,Male,PhD,JavaScript,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,16
R0039,2024-02-26,West,18-24,Female,PhD,Python,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,2,Feb,9
R0040,2024-03-12,Central,18-24,Female,Bachelor's,JavaScript,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,3,Mar,11
R0041,2024-01-30,South,55+,Female,PhD,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,,Which cloud platform do you use most?,1,Jan,5
R0042,2024-04-21,North,25-34,Male,Master's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,4,Apr,16
R0043,2024-05-17,South,35-44,Male,PhD,C++,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,20
R0044,2024-06-18,South,55+,Female,Master's,JavaScript,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,25
R0045,2024-04-17,South,25-34,Male,Bachelor's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,16
R0046,2024-02-23,East,25-34,Female,Bachelor's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,8
R0047,2024-02-13,South,18-24,Male,PhD,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,7
R0048,2024-02-20,North,55+,Male,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,8
R0049,2024-06-27,West,25-34,Female,Master's,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,6,Jun,26
R0050,2024-02-26,Central,45-54,Female,Master's,Python,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,9
R0051,2024-06-19,North,45-54,Male,Master's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,6,Jun,25
R0052,2024-05-20,South,35-44,Female,Bachelor's,Java,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?,5,May,21
R0053,2024-05-04,West,45-54,Male,Master's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,18
R0054,2024-02-29,South,25-34,Female,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,9
R0055,2024-04-09,South,25-34,Male,Master's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,IBM Cloud,Which cloud platform do you use most?,4,Apr,15
R0056,2024-04-09,West,25-34,Male,Bachelor's,JavaScript,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,4,Apr,15
R0057,2024-04-21,East,25-34,Male,Bachelor's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,4,Apr,16
R0058,2024-05-16,West,45-54,Female,Other,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,20
R0059,2024-04-07,East,18-24,Male,High School,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,IBM Cloud,Which cloud platform do you use most?,4,Apr,14
R0060,2024-04-30,South,55+,Male,Master's,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,18
R0061,2024-03-04,West,35-44,Female,Master's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,3,Mar,10
R0062,2024-04-04,West,25-34,Male,Master's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,14
R0063,2024-03-20,West,55+,Male,High School,Java,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,,Which cloud platform do you use most?,3,Mar,12
R0064,2024-06-27,North,25-34,Female,Bachelor's,JavaScript,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,26
R0065,2024-04-04,Central,35-44,Male,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,4,Apr,14
R0066,2024-04-27,East,25-34,Male,PhD,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,,Which cloud platform do you use most?,4,Apr,17
R0067,2024-04-21,South,35-44,Female,Bachelor's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,16
R0068,2024-05-25,Central,18-24,Male,Master's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,IBM Cloud,Which cloud platform do you use most?,5,May,21
R0069,2024-06-01,North,18-24,Female,Bachelor's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,,Which cloud platform do you use most?,6,Jun,22
R0070,2024-06-25,North,35-44,Female,Master's,Java,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,26
R0071,2024-04-04,South,25-34,Male,Master's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,4,Apr,14
R0072,2024-01-31,South,35-44,Male,Bachelor's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,,Which cloud platform do you use most?,1,Jan,5
R0073,2024-05-30,West,18-24,Female,Bachelor's,Go,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,22
R0074,2024-05-16,North,18-24,Male,High School,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,20
R0075,2024-01-04,Central,25-34,Female,Bachelor's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,1
R0076,2024-04-12,North,55+,Male,Master's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,15
R0077,2024-05-22,West,55+,Male,Bachelor's,JavaScript,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,21
R0078,2024-04-19,East,25-34,Male,PhD,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,4,Apr,16
R0079,2024-02-10,Central,18-24,Male,Master's,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,6
R0080,2024-03-13,West,25-34,Male,Bachelor's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,,Which cloud platform do you use most?,3,Mar,11
R0081,2024-04-18,West,25-34,Female,PhD,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,16
R0082,2024-05-25,North,18-24,Female,Master's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,21
R0083,2024-06-02,South,18-24,Female,Bachelor's,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,22
R0084,2024-01-06,North,55+,Female,Master's,Go,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,1
R0085,2024-02-16,West,25-34,Female,PhD,Go,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,,Which cloud platform do you use most?,2,Feb,7
R0086,2024-02-11,East,25-34,Male,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,,Which cloud platform do you use most?,2,Feb,6
R0087,2024-03-23,West,25-34,Male,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,On-site,What is your preferred work mode?,GCP,Which cloud platform do you use most?,3,Mar,12
R0088,2024-05-12,North,45-54,Male,High School,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,5,May,19
R0089,2024-06-27,North,25-34,Female,Bachelor's,Java,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,6,Jun,26
R0090,2024-02-27,West,25-34,Male,Bachelor's,Go,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,9
R0091,2024-03-10,West,25-34,Female,Bachelor's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,3,Mar,10
R0092,2024-02-04,North,18-24,Female,Master's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,5
R0093,2024-03-17,Central,25-34,Female,Bachelor's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,IBM Cloud,Which cloud platform do you use most?,3,Mar,11
R0094,2024-04-06,South,25-34,Male,Master's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,4,Apr,14
R0095,2024-05-01,East,18-24,Female,High School,C++,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,5,May,18
R0096,2024-05-08,West,55+,Female,High School,Go,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,IBM Cloud,Which cloud platform do you use most?,5,May,19
R0097,2024-06-16,North,45-54,Male,Bachelor's,Go,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,24
R0098,2024-06-21,East,25-34,Male,Bachelor's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,6,Jun,25
R0099,2024-06-10,West,45-54,Male,High School,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,24
R0100,2024-02-12,Central,35-44,Female,Bachelor's,C++,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,2,Feb,7
R0101,2024-05-24,South,25-34,Male,Bachelor's,C++,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,5,May,21
R0102,2024-02-29,South,35-44,Female,Master's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,9
R0103,2024-04-23,West,45-54,Female,Bachelor's,Go,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,,Which cloud platform do you use most?,4,Apr,17
R0104,2024-05-03,West,25-34,Male,Other,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,18
R0105,2024-01-03,West,18-24,Female,Bachelor's,Java,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,1
R0106,2024-02-28,East,25-34,Female,Bachelor's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,9
R0107,2024-06-09,West,35-44,Female,Master's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,6,Jun,23
R0108,2024-03-24,North,25-34,Male,PhD,C++,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,3,Mar,12
R0109,2024-03-06,Central,25-34,Female,Master's,JavaScript,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,3,Mar,10
R0110,2024-02-27,Central,35-44,Male,High School,JavaScript,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,On-site,What is your preferred work mode?,,Which cloud platform do you use most?,2,Feb,9
R0111,2024-05-17,West,25-34,Female,High School,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,5,May,20
R0112,2024-04-30,South,25-34,Male,Master's,Python,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,,Which cloud platform do you use most?,4,Apr,18
R0113,2024-03-18,North,18-24,Female,PhD,C++,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,3,Mar,12
R0114,2024-04-09,Central,18-24,Male,Bachelor's,Java,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,,Which cloud platform do you use most?,4,Apr,15
R0115,2024-01-26,South,35-44,Male,Bachelor's,JavaScript,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,4
R0116,2024-04-02,West,18-24,Male,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,,Which cloud platform do you use most?,4,Apr,14
R0117,2024-04-26,South,25-34,Male,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,,Which cloud platform do you use most?,4,Apr,17
R0118,2024-02-22,North,25-34,Prefer not to say,Master's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,8
R0119,2024-01-01,Central,25-34,Male,PhD,Python,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?,1,Jan,1
R0120,2024-04-01,West,18-24,Female,Bachelor's,JavaScript,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,14
R0121,2024-05-01,North,35-44,Female,Master's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,5,May,18
R0122,2024-06-17,North,25-34,Female,PhD,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,25
R0123,2024-04-23,East,25-34,Female,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,17
R0124,2024-06-01,South,25-34,Female,Bachelor's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,22
R0125,2024-02-25,West,45-54,Female,Master's,Java,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,2,Feb,8
R0126,2024-03-06,South,35-44,Male,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,3,Mar,10
R0127,2024-02-03,West,18-24,Male,Master's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,5
R0128,2024-01-14,North,25-34,Female,Master's,Go,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,1,Jan,2
R0129,2024-05-22,North,35-44,Male,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,5,May,21
R0130,2024-06-13,West,55+,Female,Master's,Java,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,6,Jun,24
R0131,2024-03-30,North,18-24,Female,PhD,Python,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,3,Mar,13
R0132,2024-02-25,North,25-34,Male,Master's,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,8
R0133,2024-02-09,South,55+,Female,PhD,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,6
R0134,2024-05-11,West,25-34,Male,Bachelor's,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,GCP,Which cloud platform do you use most?,5,May,19
R0135,2024-06-02,East,35-44,Male,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,GCP,Which cloud platform do you use most?,6,Jun,22
R0136,2024-04-20,West,18-24,Male,Bachelor's,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,4,Apr,16
R0137,2024-01-11,West,35-44,Male,PhD,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,2
